Area Name,Area ID,Park Name,Park Name,Squirrel ID,Primary Fur Color,Primary Fur Color,Highlights in Fur Color,Highlights in Fur Color,Squirrel Latitude (DD.DDDDDD),Squirrel Longitude (-DD.DDDDDD)
UPPER MANHATTAN,A,J. Hood Wright Park,6,A-02-21,Gray,3,Cinnamon,2,40.803507,-73.943661
UPPER MANHATTAN,A,J. Hood Wright Park,6,A-02-22,Gray,3,Cinnamon,2,40.804701,-73.944118
UPPER MANHATTAN,A,J. Hood Wright Park,6,A-02-23,Gray,3,Cinnamon,2,40.804746,-73.94374
CENTRAL MANHATTAN,B,Madison Square Park,8,B-07-08,Gray,3,Cinnamon,2,40.735981,-73.99062
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-33,Black,1,Cinnamon,2,40.846065,-73.941498
BROOKLYN,D,McCarren Park,10,D-22-04,Gray,3,Cinnamon,2,40.70295,-74.015813
BROOKLYN,D,McCarren Park,10,D-22-18,Cinnamon,2,Cinnamon,2,40.702467,-74.015757
BROOKLYN,D,McCarren Park,10,D-22-27,Gray,3,Cinnamon,2,40.702618,-74.016556
BROOKLYN,D,McCarren Park,10,D-22-33,Gray,3,Cinnamon,2,40.704011,-74.016134
BROOKLYN,D,McCarren Park,10,D-22-34,Cinnamon,2,Cinnamon,2,40.735636,-73.990426
BROOKLYN,D,McCarren Park,10,D-22-35,Cinnamon,2,Cinnamon,2,40.733648,-73.984294
BROOKLYN,D,McCarren Park,10,D-22-41,Cinnamon,2,Cinnamon,2,40.804613,-73.943829
BROOKLYN,D,Msgr. McGolrick Park,11,D-21-01,Gray,3,Cinnamon,2,40.702411,-74.015896
BROOKLYN,D,Msgr. McGolrick Park,11,D-21-02,Gray,3,Cinnamon,2,40.724755,-73.944006
BROOKLYN,D,Msgr. McGolrick Park,11,D-21-03,Gray,3,Cinnamon,2,40.723974,-73.943845
BROOKLYN,D,Msgr. McGolrick Park,11,D-21-06,Gray,3,Cinnamon,2,40.723462,-73.943952
BROOKLYN,D,Msgr. McGolrick Park,11,D-21-14,Gray,3,Cinnamon,2,40.725372,-73.943652
LOWER MANHATTAN,C,Seward Park,13,C-14-02,Gray,3,Cinnamon,2,40.721923,-73.974121
LOWER MANHATTAN,C,Seward Park,13,C-14-03,Gray,3,Cinnamon,2,40.721923,-73.974121
LOWER MANHATTAN,C,Seward Park,13,C-14-04,Gray,3,Cinnamon,2,40.804564,-73.943824
LOWER MANHATTAN,C,Seward Park,13,C-14-05,Gray,3,Cinnamon,2,40.804564,-73.943824
LOWER MANHATTAN,C,Seward Park,13,C-14-06,Gray,3,Cinnamon,2,40.721923,-73.974121
LOWER MANHATTAN,C,Seward Park,13,C-14-07,Gray,3,Cinnamon,2,40.721124,-73.950797
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-01,Gray,3,Cinnamon,2,40.733619,-73.984708
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-02,Gray,3,Cinnamon,2,40.71468,-73.989776
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-03,Gray,3,Cinnamon,2,40.721857,-73.953139
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-04,Gray,3,Cinnamon,2,40.722283,-73.953115
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-05,Gray,3,Cinnamon,2,40.720606,-73.952769
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-06,Gray,3,Cinnamon,2,40.720533,-73.95272
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-07,Gray,3,Cinnamon,2,40.859965,-73.933412
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-08,Gray,3,Cinnamon,2,40.804912,-73.943735
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-09,Gray,3,Cinnamon,2,40.804912,-73.943736
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-10,Gray,3,Cinnamon,2,40.804913,-73.943735
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-11,Gray,3,Cinnamon,2,40.804915,-73.943737
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-12,Gray,3,Cinnamon,2,40.804916,-73.943735
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-13,Gray,3,Cinnamon,2,40.804914,-73.943736
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-14,Black,1,Cinnamon,2,40.804917,-73.943737
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-15,Black,1,Cinnamon,2,40.804713,-73.944032
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-16,Black,1,Cinnamon,2,40.803981,-73.943327
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-17,Gray,3,Cinnamon,2,40.804123,-73.943402
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-18,Gray,3,Cinnamon,2,40.804878,-73.942781
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-19,Black,1,Cinnamon,2,40.804878,-73.943737
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-20,Gray,3,Cinnamon,2,40.804915,-73.943327
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-21,Gray,3,Cinnamon,2,40.803981,-73.943736
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-22,Gray,3,Cinnamon,2,40.804917,-73.943327
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-23,Gray,3,Cinnamon,2,40.804915,-73.943327
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-24,Black,1,Cinnamon,2,40.804915,-73.943736
CENTRAL MANHATTAN,B,Stuyvesant Square Park,15,B-09-25,Black,1,Cinnamon,2,40.804915,-73.943736
LOWER MANHATTAN,C,Teardrop Park,16,C-18-01,Gray,3,Cinnamon,2,40.715779,-73.999887
CENTRAL MANHATTAN,B,Union Square Park,18,B-08-01,Cinnamon,2,Cinnamon,2,40.733546,-73.983263
CENTRAL MANHATTAN,B,Union Square Park,18,B-08-07,Gray,3,Cinnamon,2,40.733591,-73.983263
LOWER MANHATTAN,C,Battery Park,1,C-20-02,Gray,3,"Cinnamon, White",2.4,40.842511,-73.932916
LOWER MANHATTAN,C,Battery Park,1,C-20-03,Gray,3,"Cinnamon, White",2.4,40.714846,-73.989679
LOWER MANHATTAN,C,Battery Park,1,C-20-05,Gray,3,"Cinnamon, White",2.4,40.719379,-73.973504
LOWER MANHATTAN,C,Battery Park,1,C-20-10,Gray,3,"Cinnamon, White",2.4,40.71935,-73.973445
LOWER MANHATTAN,C,City Hall Park,2,C-19-04,Gray,3,"Cinnamon, White",2.4,40.817569,-73.948931
LOWER MANHATTAN,C,City Hall Park,2,C-19-05,Gray,3,"Cinnamon, White",2.4,40.714867,-74.000236
LOWER MANHATTAN,C,City Hall Park,2,C-19-11,Gray,3,"Cinnamon, White",2.4,40.724608,-73.972841
BROOKLYN,D,McCarren Park,10,D-22-10,Gray,3,"Cinnamon, White",2.4,40.712836,-74.005662
BROOKLYN,D,McCarren Park,10,D-22-17,Gray,3,"Cinnamon, White",2.4,40.71312,-74.006862
BROOKLYN,D,McCarren Park,10,D-22-20,Gray,3,"Cinnamon, White",2.4,40.741805,-73.988448
BROOKLYN,D,McCarren Park,10,D-22-21,Gray,3,"Cinnamon, White",2.4,40.725511,-73.943609
BROOKLYN,D,McCarren Park,10,D-22-22,Gray,3,"Cinnamon, White",2.4,40.723136,-73.951794
BROOKLYN,D,McCarren Park,10,D-22-25,Gray,3,"Cinnamon, White",2.4,40.72263,-73.973001
BROOKLYN,D,McCarren Park,10,D-22-29,Gray,3,"Cinnamon, White",2.4,40.803794,-73.944003
BROOKLYN,D,McCarren Park,10,D-22-32,Gray,3,"Cinnamon, White",2.4,40.803795,-73.944003
BROOKLYN,D,McCarren Park,10,D-22-38,Gray,3,"Cinnamon, White",2.4,40.803794,-73.944004
BROOKLYN,D,McCarren Park,10,D-22-39,Gray,3,"Cinnamon, White",2.4,40.803794,-73.944005
BROOKLYN,D,McCarren Park,10,D-22-44,Gray,3,"Cinnamon, White",2.4,40.803796,-73.944003
LOWER MANHATTAN,C,Seward Park,13,C-14-01,Gray,3,"Cinnamon, White",2.4,40.804564,-73.943824
LOWER MANHATTAN,C,City Hall Park,2,C-19-09,Gray,3,Gray,3,40.721173,-73.950781
LOWER MANHATTAN,C,Corlears Hook Park,3,C-15-10,Gray,3,Gray,3,40.720412,-73.952353
UPPER MANHATTAN,A,Fort Tryon Park,4,A-01-08,Black,1,Gray,3,40.803795,-73.944004
UPPER MANHATTAN,A,Highbridge Park,5,A-03-06,Gray,3,Gray,3,40.84719,-73.941308
UPPER MANHATTAN,A,J. Hood Wright Park,6,A-02-01,Gray,3,Gray,3,40.735941,-73.99063
UPPER MANHATTAN,A,J. Hood Wright Park,6,A-02-07,Gray,3,Gray,3,40.712224,-73.979669
UPPER MANHATTAN,A,J. Hood Wright Park,6,A-02-14,Gray,3,Gray,3,40.846271,-73.940579
UPPER MANHATTAN,A,J. Hood Wright Park,6,A-02-17,Gray,3,Gray,3,40.846417,-73.941115
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-01,Gray,3,Gray,3,40.860225,-73.933143
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-03,Gray,3,Gray,3,40.859892,-73.933326
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-04,Gray,3,Gray,3,40.817711,-73.949118
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-05,Gray,3,Gray,3,40.816685,-73.949689
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-06,Gray,3,Gray,3,40.816506,-73.949587
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-07,Gray,3,Gray,3,40.712828,-74.005072
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-08,Gray,3,Gray,3,40.704142,-74.015837
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-09,Gray,3,Gray,3,40.704175,-74.015306
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-10,Gray,3,Gray,3,40.704468,-74.014774
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-11,Gray,3,Gray,3,40.704453,-74.014757
CENTRAL MANHATTAN,B,John V. Lindsay East River Park,7,B-12-12,Gray,3,Gray,3,40.720448,-73.952521
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-01,Gray,3,Gray,3,40.713339,-74.006313
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-02,Gray,3,Gray,3,40.72112,-73.95104
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-03,Gray,3,Gray,3,40.712893,-74.005233
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-04,Gray,3,Gray,3,40.712893,-74.005233
UPPER MANHATTAN,A,Marcus Garvey Park,9,A-06-05,Gray,3,Gray,3,40.859576,-73.933738
